scale,ReLC_nm,CR00_R,CR00_G,CR00_B,CR00_W,CR00_W_rel_to_ref_dB,CR_W_t30_p+45,CR_W_t30_p+45_rel_to_ref_dB,CR_W_t30_p+135,CR_W_t30_p+135_rel_to_ref_dB,CR_W_t30_p-45,CR_W_t30_p-45_rel_to_ref_dB,CR_W_t30_p-135,CR_W_t30_p-135_rel_to_ref_dB
0.75,232.5,17047.204520429157,14718.806090358035,14082.873973019443,23291.096296837364,0.37394553202330894,826.9291234995861,-0.3500743384992683,786.6401758654994,0.3322636530294143,786.6401758654979,0.3322636530294143,826.9291234995865,-0.35007433849926517
0.76,235.6,16780.95545496778,14529.764847897637,14037.720896598637,23107.831049131993,0.33963805801385255,828.7998010243272,-0.34026083267632723,784.5488786263828,0.320702480492879,784.5488786263816,0.3207024804928809,828.799801024328,-0.34026083267632096
0.77,238.70000000000002,16524.321877988976,14350.17440955175,14003.624427998204,22934.683583432172,0.3069737502567994,830.7483221899423,-0.33006248570312136,782.4235781565229,0.3089217139780356,782.4235781565206,0.30892171397803114,830.7483221899428,-0.33006248570311714
0.78,241.8,16277.00625026708,14179.73606801655,13980.502387217724,22771.45960286765,0.2759549110022704,832.7750705694478,-0.3194800547403371,780.2659356014468,0.29692889207957285,780.2659356014442,0.29692889207956646,832.7750705694478,-0.3194800547403356
0.79,244.9,16038.720377979302,14018.166904419422,13968.2990638001,22617.97011035508,0.24658248039787228,834.8803282332082,-0.30851493241697925,778.077682424102,0.2847320069564794,778.0776824241002,0.2847320069564776,834.880328233208,-0.3085149324169782
0.8,248.0,15809.18548518083,13865.199349514549,13966.985061274849,22474.03165706526,0.21885610504512026,837.0642704636839,-0.2971691665384885,775.8606179121412,0.27233950029534126,775.8606179121401,0.27233950029534304,837.0642704636841,-0.2971691665384854
0.81,251.10000000000002,15588.132231676746,13720.580742082266,13976.557214619204,22339.46652775902,0.1927742006501003,839.3269603387434,-0.2854454793026621,773.6166064509418,0.2597602579424985,773.6166064509396,0.259760257942494,839.3269603387433,-0.28544547930266106
0.8200000000000001,254.20000000000002,15375.300684605914,13584.072889503313,13997.038581352694,22214.102869719223,0.1683340090603428,841.6683431847088,-0.2733472859826314,771.3475745784435,0.24700360323033185,771.3475745784418,0.2470036032303309,841.6683431847099,-0.2733472859826237
0.8300000000000001,257.3,15170.440251074651,13455.451634628722,14028.478506330755,22097.77477129917,0.14553164997174595,844.0882409019788,-0.26087871303228644,769.0555078391476,0.23407928902925412,769.0555078391461,0.23407928902925412,844.0882409019785,-0.26087871303228644
0.8400000000000001,260.40000000000003,14973.309578294664,13334.506432336297,14070.952759756545,21990.322295450773,0.12436216757971609,846.586346167997,-0.24804461556509294,766.7424474554992,0.22099748856175933,766.742447455497,0.22099748856175472,846.5863461679972,-0.2480446155650899
0.8500000000000001,263.5,14783.676426894608,13221.039938548432,14124.563747357726,21891.591472994976,0.10481957243915613,849.1622165243431,-0.23485059415300852,764.4104868357949,0.20776878502048654,764.4104868357931,0.2077687850204847,849.1622165243439,-0.2348505941530024
0.8600000000000001,266.6,14601.317522367863,13114.867613959872,14189.44079104917,21801.43425984222,0.0868968787875174,851.8152683570632,-0.22130301088712526,762.0617679383407,0.19440416003651237,762.0617679383396,0.19440416003651426,851.8152683570632,-0.22130301088712376
0.8700000000000001,269.70000000000005,14426.01838899454,13015.8173442837,14265.740477689516,21719.708461866576,0.07058613757532385,854.5447707818278,-0.207409004636657,759.6984775121376,0.1809149810487776,759.6984775121366,0.18091498104878034,854.5447707818278,-0.20740900463665554
0.8800000000000001,272.8,14257.573170015272,12923.729078451102,14353.647072709293,21646.2776306742,0.055878465438289546,857.3498394482119,-0.19317650543751463,757.3228432346059,0.16731298762898617,757.3228432346044,0.16731298762898525,857.3498394482123,-0.19317650543751164
0.8900000000000001,275.90000000000003,14095.784437341985,12838.45448589137,14453.372994400172,21581.01093308791,0.042764069835697735,860.2294302803001,-0.17861424793624323,754.9371297670846,0.1536102768202176,754.9371297670832,0.1536102768202176,860.2294302802998,-0.17861424793624375
0.9000000000000001,279.00000000000006,13940.46299364983,12759.856633760064,14565.159343472218,21523.782996787682,0.031232270570331164,863.1823331739531,-0.16373178380928538,752.5436347487158,0.13981928754993067,752.5436347487145,0.13981928754993067,863.1823331739533,-0.16373178380928283
0.9100000000000001,282.1,13791.427669309458,12687.809684771888,14689.276481057399,21474.47373420245,0.021271517896610394,866.2071656744076,-0.14853949307170847,750.1446847492189,0.12595278418101363,750.1446847492174,0.12595278418101363,866.2071656744079,-0.14853949307170597
0.9200000000000002,285.20000000000005,13648.505116275226,12622.198616120548,14826.024646615835,21432.968146436964,0.012869407415546041,869.3023666613833,-0.13304859418372694,747.742631200631,0.11202383926615397,747.7426312006303,0.11202383926615866,869.3023666613823,-0.1330485941837304
0.9300000000000002,288.30000000000007,13511.529600744465,12562.918959828592,14975.734605118765,21399.156108737057,0.0060126919476132185,872.4661900726516,-0.11727115285709255,745.3398463276579,0.09804581557270017,745.339846327657,0.098045815572703,872.4661900726509,-0.11727115285709404
0.9400000000000002,291.40000000000003,13380.342796139028,12509.876564757667,15138.76831037819,21372.93213874671,0.000687290568306631,875.6966987008549,-0.10122008945780998,742.9387190955673,0.08403234744587201,742.9387190955658,0.08403234744587107,875.6966987008554,-0.10122008945780556
0.9500000000000002,294.50000000000006,13254.79357772779,12462.987380423025,15315.519568377891,21354.195148585757,-0.0031217050148861086,878.9917581024289,-0.08490918489573972,740.5416511938577,0.06999732157918212,740.5416511938566,0.06999732157918402,878.9917581024285,-0.08490918489573972
0.9600000000000002,297.6000000000001,13134.737820005448,12422.177262688569,15506.414680853104,21342.848181579433,-0.005430026570124,882.3490306617196,-0.0683530848857021,738.1510530729838,0.05595485726069915,738.1510530729814,0.055954857260693436,882.3490306617201,-0.0683530848856977
0.9700000000000002,300.70000000000005,13020.038197767228,12387.381801369767,15711.913045052024,21338.798134296816,-0.0062542277635598475,885.7659698575592,-0.05156730245989845,735.769340050487,0.04191928616382772,735.769340050485,0.04191928616382294,885.76596985756,-0.051567302459892585
0.9800000000000002,303.80000000000007,12910.563991662593,12358.546169736646,15932.507680483048,21341.9554644036,-0.005611684729611656,889.2398147840438,-0.03456821860576062,733.3989285017633,0.02790513175040832,733.398928501761,0.027905131750403524,889.2398147840448,-0.0345682186057543
