update_idx,best_CR,A_scale,ReC_nm,A_base_deg,A_kind,S0_POL_in,s1_POL_in,s2_POL_in,s3_POL_in,S0_el#0_LC,s1_el#0_LC,s2_el#0_LC,s3_el#0_LC,S0_el#1_A,s1_el#1_A,s2_el#1_A,s3_el#1_A,S0_el#2_C,s1_el#2_C,s2_el#2_C,s3_el#2_C,png
0,7.352601764449459,0.0,-280.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.000000000000004,0.4929308244949493,-0.0592548473725563,-0.8570212089319588,iso_LC_AC_abs_u000.png
5,8.596643093847826,0.0,-255.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.000000000000003,0.571658034225723,-0.0478915534399036,-0.8093310065190682,iso_LC_AC_abs_u005.png
10,10.221367552676922,0.0,-230.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.0000000000000027,0.6456188695950698,-0.0372162263874083,-0.7541514182572515,iso_LC_AC_abs_u010.png
15,12.389646774761085,0.0,-205.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.0000000000000027,0.7141057318026283,-0.0273309993045367,-0.6919763605850422,iso_LC_AC_abs_u015.png
20,15.355439891728142,0.0,-180.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.000000000000003,0.776461934053186,-0.018330656765786,-0.6233688667106334,iso_LC_AC_abs_u020.png
25,19.524810289099463,0.0,-155.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.0000000000000027,0.8320883891788152,-0.0103016695555743,-0.5489556515517079,iso_LC_AC_abs_u025.png
30,25.558090415397537,0.0,-130.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.0000000000000027,0.8804497214604081,-0.0033213125027878,-0.4694210099068955,iso_LC_AC_abs_u030.png
35,34.519599465067,0.0,-105.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.0000000000000027,0.9210797370472302,0.0025431251062698,-0.3855001108332291,iso_LC_AC_abs_u035.png
40,47.97903746140834,0.0,-80.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.000000000000003,0.9535861941829936,0.0072350280507033,-0.2979717578273757,iso_LC_AC_abs_u040.png
45,67.45235757452768,0.0,-55.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.000000000000002,0.9776548219139568,0.0107090352255774,-0.207650690274517,iso_LC_AC_abs_u045.png
50,91.1091319467691,0.0,-30.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.0000000000000027,0.993052543995706,0.0129315049727786,-0.1153795066708814,iso_LC_AC_abs_u050.png
55,107.16372496631443,0.0,-5.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9998797196084066,0.013916922892228,-0.0032946179912228,3.0000000000000027,0.9996298732409948,0.0138808606753577,-0.0220202942868152,iso_LC_AC_abs_u055.png
60,111.59171472974312,0.1,10.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000027,0.9981729807274232,0.0195270739534942,-0.0549627794831401,3.000000000000004,0.9994548589721431,0.0197120971409086,-0.0237094286540356,iso_LC_AC_abs_u060.png
65,117.63880859919546,0.15,20.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.000000000000002,0.9962287587451156,0.0259178459332684,-0.0800837248141361,3.0000000000000027,0.9994108667354394,0.0263771436594694,-0.0175641838298232,iso_LC_AC_abs_u065.png
