label,wl_key,S0,S1,S2,S3,s1,s2,s3
POL_in,B,1.0,1.0,0.0,0.0,1.0,0.0,0.0
POL_in,G,1.0,1.0,0.0,0.0,1.0,0.0,0.0
POL_in,R,1.0,1.0,0.0,0.0,1.0,0.0,0.0
el#0_LC,B,1.0000000000000004,0.9999286411088222,0.008256509419760411,-0.008633813900398638,0.9999286411088217,0.008256509419760407,-0.008633813900398635
el#1_A,B,1.0000000000000007,0.8971955128411132,0.3459463429379493,-0.27452019879351697,0.8971955128411127,0.34594634293794907,-0.2745201987935168
el#2_C,B,1.0000000000000009,0.9357574229572719,0.35151227523445683,0.028234123677964525,0.9357574229572712,0.3515122752344565,0.0282341236779645
el#0_LC,G,1.0000000000000004,0.9998572079378494,0.016521613309138077,-0.003549651869185905,0.9998572079378489,0.01652161330913807,-0.0035496518691859034
el#1_A,G,1.000000000000001,0.9370178465492712,0.22307828926668663,-0.2687631524335451,0.9370178465492702,0.22307828926668638,-0.2687631524335448
el#2_C,G,1.0000000000000013,0.9734735117096429,0.22834021129014354,-0.014493788589288903,0.9734735117096416,0.22834021129014323,-0.014493788589288884
el#0_LC,R,0.9999999999999998,0.9998533097785489,0.01697264594778523,0.002299611795915817,0.9998533097785491,0.016972645947785234,0.0022996117959158176
el#1_A,R,1.0000000000000004,0.9581596078396721,0.15402229588939953,-0.24126188732057297,0.9581596078396717,0.15402229588939947,-0.24126188732057285
el#2_C,R,1.0000000000000009,0.9873264592687397,0.15823216827039605,-0.012208347648418272,0.9873264592687389,0.1582321682703959,-0.012208347648418261
