update_idx,best_CR,A_scale,ReC_nm,A_base_deg,A_kind,S0_POL_in,s1_POL_in,s2_POL_in,s3_POL_in,S0_el#0_LC,s1_el#0_LC,s2_el#0_LC,s3_el#0_LC,S0_el#1_A,s1_el#1_A,s2_el#1_A,s3_el#1_A,S0_el#2_C,s1_el#2_C,s2_el#2_C,s3_el#2_C
16,12.908702805821045,0.0,-200.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.7270874657931384,-0.025457247401044367,-0.6787502820752787
17,13.461797600807303,0.0,-195.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.7398187995628503,-0.02361963765627278,-0.6652715231787967
18,14.051797104791657,0.0,-190.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000002,0.7522948381952468,-0.021818876590564234,-0.6515450052089364
19,14.68185411701602,0.0,-185.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.764510783116045,-0.020055656818457036,-0.6375757477520014
20,15.355439891728142,0.0,-180.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000003,0.776461934053186,-0.018330656765786085,-0.6233688667106334
21,16.07637915026858,0.0,-175.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.7881436909573039,-0.016644540392486064,-0.6089295723067749
22,16.84888874415193,0.0,-170.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.7995515558818513,-0.014997956921219417,-0.5942631670450405
23,17.677620161728235,0.0,-165.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.8106811348220675,-0.013391540571944124,-0.5793750436373465
24,18.56770598766335,0.0,-160.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.8215281395120008,-0.01182591030253567,-0.5642706828896542
25,19.524810289099463,0.0,-155.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.8320883891788152,-0.010301669555574378,-0.5489556515517079
26,20.555182693104097,0.0,-150.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.8423578122536223,-0.008819406011408936,-0.5334356001306573
27,21.66571560697431,0.0,-145.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000002,0.8523324480381009,-0.007379691347599609,-0.5177162606694794
28,22.86400357548281,0.0,-140.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.8620084483261932,-0.0059830810048473754,-0.5018034444911185
29,24.158403112476975,0.0,-135.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000003,0.8713820789801726,-0.004630113959507564,-0.4857030399092896
30,25.558090415397537,0.0,-130.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.8804497214604081,-0.003321312502787843,-0.4694210099068955
31,27.073113074316417,0.0,-125.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.8892078743081648,-0.0020571820267238066,-0.4529633897830302
32,28.714430098037216,0.0,-120.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000018,0.8976531545808025,-0.000838210817026519,-0.4363362847695497
33,30.49393214228894,0.0,-115.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9057822992387524,0.00033513014711074985,-0.4195458676182044
34,32.42443054845879,0.0,-110.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000036,0.9135921664836766,0.0014623873861588476,-0.4025983761593462
35,34.519599465067,0.0,-105.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9210797370472302,0.0025431251062698244,-0.3855001108332291
36,36.79384969440908,0.0,-100.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000002,0.9282421154298715,0.0035769253780838306,-0.36825743219493673
37,39.262105775980096,0.0,-95.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9350765310891896,0.004563388308249069,-0.35087675839398386
38,41.9394490846707,0.0,-90.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9415803395772284,0.0055021322035808135,-0.33336456262964714
39,44.84057953297882,0.0,-85.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.947751023626326,0.0063927937277884666,-0.3157273705830925
40,47.97903746140834,0.0,-80.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000003,0.9535861941829936,0.0072350280507033375,-0.2979717578273757
41,51.36611698764433,0.0,-75.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000036,0.9590835913893896,0.008028508989942099,-0.28010434721640504
42,55.00939538383764,0.0,-70.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.964241085511969,0.008772929144945874,-0.26213180625396004
43,58.910804992950446,0.0,-65.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000036,0.9690566778168991,0.009468000023335615,-0.24406084444387344
44,63.0641926437988,0.0,-60.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9735285013918732,0.010113452159530566,-0.2258982106224893
45,67.45235757452768,0.0,-55.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000002,0.9776548219139568,0.010709035225577401,-0.207650690274517
46,72.04364618060788,0.0,-50.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9814340383631439,0.011254518134143451,-0.18932510283341195
