A_scale,ReA_nm,ReC_nm,best_CR,best_A_base_deg,best_A_kind
0.0,0.0,220.0,15.131432601139101,90.0,upper
0.0,0.0,225.0,14.578135560017719,90.0,upper
0.0,0.0,230.0,14.054770733367931,90.0,upper
0.0,0.0,235.0,13.559334165788785,90.0,upper
0.0,0.0,240.0,13.08997656697652,90.0,upper
0.0,0.0,245.0,12.644990391601102,90.0,upper
0.0,0.0,250.0,12.222797999987616,90.0,upper
0.0,0.0,255.0,11.821940823803935,90.0,upper
0.0,0.0,260.0,11.441069461507016,90.0,upper
0.0,0.0,265.0,11.078934630453597,90.0,upper
0.0,0.0,270.0,10.73437890578751,90.0,upper
0.0,0.0,275.0,10.406329180068441,90.0,upper
0.0,0.0,280.0,10.093789781812408,90.0,upper
0.05,7.75,-280.0,7.061482838227498,90.0,upper
0.05,7.75,-275.0,7.270876657502867,90.0,upper
0.05,7.75,-270.0,7.490849753311854,90.0,upper
0.05,7.75,-265.0,7.722098631093911,90.0,upper
0.05,7.75,-260.0,7.965376678952408,90.0,upper
0.05,7.75,-255.0,8.22149964149881,90.0,upper
0.05,7.75,-250.0,8.491351692248996,90.0,upper
0.05,7.75,-245.0,8.77589217629395,90.0,upper
0.05,7.75,-240.0,9.076163103964769,90.0,upper
0.05,7.75,-235.0,9.393297486295829,90.0,upper
0.05,7.75,-230.0,9.72852861435628,90.0,upper
0.05,7.75,-225.0,10.083200397054078,90.0,upper
0.05,7.75,-220.0,10.458778885888142,90.0,upper
0.05,7.75,-215.0,10.8568651303673,90.0,upper
0.05,7.75,-210.0,11.279209524412034,90.0,upper
0.05,7.75,-205.0,11.72772782190506,90.0,upper
0.05,7.75,-200.0,12.204519018433077,90.0,upper
0.05,7.75,-195.0,12.711885315753001,90.0,upper
0.05,7.75,-190.0,13.252354404941338,90.0,upper
0.05,7.75,-185.0,13.828704322480565,90.0,upper
0.05,7.75,-180.0,14.443991149088506,90.0,upper
0.05,7.75,-175.0,15.101579831522743,90.0,upper
0.05,7.75,-170.0,15.80517840942655,90.0,upper
0.05,7.75,-165.0,16.558875917554168,90.0,upper
0.05,7.75,-160.0,17.367184201363496,90.0,upper
0.05,7.75,-155.0,18.23508382105286,90.0,upper
0.05,7.75,-150.0,19.16807411176156,90.0,upper
0.05,7.75,-145.0,20.172227296582417,90.0,upper
0.05,7.75,-140.0,21.254246287699946,90.0,upper
0.05,7.75,-135.0,22.421525423050664,90.0,upper
0.05,7.75,-130.0,23.682212822124463,90.0,upper
0.05,7.75,-125.0,25.045272238659265,90.0,upper
0.05,7.75,-120.0,26.520541152069523,90.0,upper
0.05,7.75,-115.0,28.118780258432206,90.0,upper
0.05,7.75,-110.0,29.851707348225073,90.0,upper
0.05,7.75,-105.0,31.732005607899158,90.0,upper
